Nombre,Valoraciones,A favor,En contra,Opiniones,Precio,Características
Citroën Grand C4 SpaceTourer,,['✔ Confort excepcional: asientos delanteros con masaje y reposacabezas ergonómicos ✔ Tecnología: conectividad avanzada y navegación 3D ✔ Visibilidad: parabrisas panorámico para mayor luminosidad interior'],['✘ La tercera fila es algo justa para adultos ✘ El sistema de infoentretenimiento podría ser más intuitivo'],"['El maletero varía desde 170 litros con las 7 plazas en uso hasta 1.843 litros si abates los asientos, adaptándose a cualquier necesidad de espacio.']",,"[['✘ El maletero se reduce mucho con las 7 plazas en uso ✘ Algunos materiales interiores podrían mejorarEl SEAT Alhambra es ideal para familias que priorizan el espacio, la practicidad y la comodidad en cada trayecto.']]"
Ford S-Max,,['✔ Eficiencia híbrida: motor de gasolina 2.5L con etiqueta ECO ✔ Confort: suspensión optimizada y asientos versátiles ✔ Tecnología avanzada: sistema SYNC 3 con comandos por voz'],['✘ La transmisión CVT puede no ser atractiva para algunos ✘ Maletero reducido con las 7 plazas en uso'],"['El maletero ofrece 185 litros con las 7 plazas en uso y hasta 2.020 litros si abates los asientos, adaptándose a tus necesidades de espacio en cada momento.']",,"[['Peugeot 5008 combina un diseño moderno con tecnología avanzada, siendo una opción ideal para familias que buscan un monovolumen de 7 plazas con estilo. Con 4,79 metros de largo, 1,90 de ancho y 1,69 de alto, ofrece un interior espacioso y versátil.El maletero tiene 259 litros de capacidad con las 7 plazas en uso y llega hasta 1.815 litros si abates los asientos, adaptándose a tus necesidades de espacio.']]"
Opel Zafira Tourer,,['✔ Espacio bien aprovechado: interior modular con gran capacidad de carga ✔ Confort: asientos ergonómicos ideales para trayectos largos ✔ Practicidad: acceso fácil gracias a las puertas amplias y sistemas de plegado rápido de asientos'],['✘ Maletero limitado con las 7 plazas en uso ✘ El diseño interior es menos moderno comparado con otros modelos recientes'],"['El maletero tiene 152 litros de capacidad con las 7 plazas en uso, 710 litros con 5 plazas y hasta 1.860 litros si abates los asientos. Su diseño modular lo convierte en una opción perfecta tanto para viajes familiares como para transportar objetos voluminosos.']",,"[['Porque es perfecto si buscas eficiencia, tecnología y un diseño atractivo en un monovolumen familiar.Siete plazas, un diseño moderno y toda la tecnología que imaginas. El Peugeot 5008 es el SUV que lo tiene todo.']]"
1. Mercedes-Benz Clase V,10/10,"['Consumo', 'Tracción total', 'Posibilidades de personalización']","['Precio', 'Prestaciones algo inferiores a algunos rivales', 'Equipamiento de serie']","La Clase V es la furgoneta de hasta ocho plazas más lujosa, cara y potente del mercado. Solo está disponible con motores diésel convencionales de hasta 239 CV y siempre asociado a la caja automática 9G-Tronic, que tan buen resultado dan en el resto de la gama de turismos en cuanto a consumo y prestaciones. Además, es muy configurable y está a la última en cuanto a tecnología, gracias al sistema multimedia MBUX.",Desde 64.638 €,
2. Volkswagen Multivan,8/10,"['Versatilidad interior', 'Equipamiento', 'Consumos urbanos']","['Maletero carrocería corta', 'Consumos PHEV', 'Precio elevado']","En esta última generación, la Volkswagen T7 Multivan es más confortable, tiene un interior con siete plazas con un diseño más cuidado y está equipado como un turismo en cuanto a tecnología. Hay una versión híbrida enchufable, la única que puede ser de tracción total.",Desde 56.616 €,
3. Ford Tourneo Custom,8/10,"['Gama muy extensa', 'Practicidad', 'Equipamiento de confort']","['Motores diésel sin hibridación', 'Muchas ayudas a la conducción opcionales', 'Consumo']","La Ford Tourneo Custom tiene dos grandes ventajas: tiene hasta nueve plazas en opción y hay una versión híbrida enchufable con etiqueta ECO, además de los motores diésel convencionales. No está disponible con tracción total, pero sí es posible equipar un diferencial delantero autoblocante en la versión manual, especialmente útil con el acabado Active, el más campero.",Desde 46.404 €,
4. Toyota Proace Verso,7/10,"['Relación calidad precio', 'Modularidad', 'Grip Control']","['Asientos de tela', 'Portón de carga único', 'Materiales mejorables']","El Toyota Proace Verso es de las mejores opciones por su relación calidad-precio, es sencillo por dentro pero con un equipamiento en cuanto a asistencias muy completo e idéntico al del resto de turismos de la marca. Es recomendable la versión larga si se van a usar frecuentemente sus siete o nueve plazas por el espacio para las piernas. Solo está disponible con motores diésel de hasta 177 CV, siendo este el único que va con cambio automático. La Citroën Spacetourer y la Peugeot Traveller son modelos casi idénticos, fruto de la alianza Toyota-PSA.",No disponible actualmente,
5. Mercedes-Benz Clase T,8/10,"['Amplitud en la segunda fila de asientos', 'Puertas traseras deslizantes', 'Practicidad de uso']","['Precio elevado', 'Similitud de acabados con el Mercedes Citan', 'Sin opción de motores potentes']","Basada en la Citán Tourer, la Mercedes-Benz Clase T tiene unos motores similares pero es un modelo mejor equipado, con más lujo y mejores calidades, también más caro. Tiene dos puertas correderas laterales y hay dos tamaños disponibles, la pequeña de 4,50 metros tiene cinco plazas y 520 litros de maletero, un cifra buena pero algo por debajo de otros rivales.",No disponible actualmente,
Peugeot 5008,,Lo mejorVersatilidad con siete plazas y diseño moderno,Lo mejorableAsistencia eléctrica limitada,"Encabezando la lista de los mejores coches de 7 plazas del mercado este año, tenemos el Peugeot 5008. Este modelo SUV de 4,6 metros de longitud, cuenta con un amplio interior, muy versátil y que, a pesar de medir menos que sus rivales directos, ofrece un habitáculo muy espacioso y un maletero enorme, con nada menos que 780 litros de capacidad. Por supuesto, está configurado para que se desplacen 7 pasajeros cómodamente. Dispone de un motor gasolina de 1,2 l que permite 131 CV con cambio...nual de 6 marchas y un motor diésel de 1,5 l que permite los mismos caballos que el gasolina, 130. También, dispone de una versión híbrida con 136 CV y tarjeta ECO. Un coche 7 plazas ideal para desplazarse en grupos grandes, ya sea por ciudad o por carretera.",Equipamiento PVP Nuevo: 41.160 €,Potencia136 CVConsumo5.0 l/100 kmPuertas5Plazas7Maletero780lAlto1.646mLargo4.641m
Nissan X-Trail,,Lo mejorTecnología e-POWER para una conducción suave y eficiente,Lo mejorablePrecio inicial elevado en comparación con la competencia,"En segundo lugar, encontramos la cuarta generación del Nissan X-Trail, el SUV más grande que Nissan comercializa en España. Cuenta con 4,68 metros de longitud (más grande que el modelo Qashqai) y 7 plazas útiles disponibles. Se trata de un 4x4 con hibridación compuesta por tres sistemas de propulsión, todas ellas con motor de combustión de gasolina, automáticos y con distintivo ECO. Sus versiones son: Micro híbrido de 163 CV (tracción delantera) e híbridos e-POWER de 204 y 203 CV...on tracción delantera y total respectivamente. Una opción muy atractiva para viajar en familia, con un interior muy amplio y un buen equipamiento tecnológico, destacando un amplio maletero con 585 litros de capacidad.",PVP Nuevo: 38.182 €,Potencia204 CVConsumo5.7 l/100 kmPuertas5Plazas7Maletero585lAlto1.725mmLargo4.680mm
Renault Espace,,Lo mejorAmplio espacio interior y eficiencia en consumo,Lo mejorablePrestaciones dinámicas que podrían ser más deportivas,"Cerrando el podio, se sitúa el Renault Espace, un SUV híbrido no enchufable con opción a 5 o 7 plazas. Dejando atrás su carrocería monovolumen, Renault ofrece un modelo más corto y ligero, con 4,72 metros de longitud. Se trata de un modelo Austral más largo y con una tercera fila de asientos, los cuales conforman 7 asientos útiles, siendo los dos extras aptos únicamente para niños. Este modelo dispone de un único sistema de propulsión híbrido de 199 CV, formado por un motor 131... y dos eléctricos de 34 CV (únicamente para cargar la batería) y otro de 68 CV (para cargar batería y desplazarse). El interior del Espace es considerablemente amplio, al igual que el maletero, que cuenta con 585 litros de capacidad. En líneas generales, la marca ofrece un modelo 7 plazas cómodo y ágil con un habitáculo muy bueno.","Equipamiento PVP Nuevo: 39.482 € Renting: Desde 520,30 € al mes",Potencia200 CVConsumo4.6 l/100 kmPuertas5Plazas7Maletero581lAlto1.645mLargo4.722m
Skoda Kodiaq,,Lo mejorAmplio espacio interior y opciones de motorización eficientes,Lo mejorableEl precio de la versión híbrida puede ser elevado,"En esta segunda generación del Kodiaq, Nissan nos ofrece un SUV más largo, con 4,76 metros de longitud y opción a 5 o 7 plazas. Este modelo dispone de un mejor equipamiento respecto a su primera generación y una característica muy destacable, su nueva versión híbrida enchufable. Su gama mecánica es muy variada, contando con versiones diésel 2.0 TDI (150 y 193 CV), gasolina 1.5 TSI con hibridación ligera (150 CV) y la anteriormente mencionada, versión híbrida enchufable 1.5 TSI...V (204 CV). En cuanto al espacio interior del Kodiaq, este cuenta con un diseño muy práctico y un habitáculo espacioso, dotándolo de gran comodidad para viajar en familia. Por su lado, el modelo también destaca por un gran maletero, con nada menos que 725 litros de capacidad.","PVP Nuevo: 39.482 € Renting: Desde 530,00 € al mes",Potencia200 CVConsumo4.6 l/100 kmPuertas5Plazas7Maletero581lAlto1.676mLargo4.758m
Kia Sorento,,Lo mejorAmplio espacio interior y eficiencia en consumo,Lo mejorablePrestaciones dinámicas que podrían ser más deportivas,"En quinta posición encontramos el modelo Kia Sorento, un 7 plazas familiar con 4,81 metros de longitud, disponible en una gran variedad de motores y grados de hibridación. Se trata del buque insignia de la marca coreana en Europa, destacando por su completo equipamiento, su tecnología y un diseño mucho más elaborado, con un interior propio de las marcas premium. Su motorización cuenta con una versión diésel 2.2 de 202 CV y sus versiones híbridas con motor gasolina 1.6 turbo de... CV, con cambio de 6 relaciones. Un vehículo de gran tamaño y con un buen habitáculo, lo sitúan entre una de las mejores opciones para las familias o grupos de amigos que necesiten un coche con un mayor espacio. Su maletero cuenta con 604 y 616 metros de capacidad, en función del tipo de motor.",PVP Nuevo: 45.000 €,Potencia230 CVConsumo6.7 l/100 kmPuertas5Plazas7Maletero616lAlto1.700mLargo4.810m
Hyundai Santa Fe,,Lo mejorConfort de marcha y equipamiento tecnológico avanzado,Lo mejorableConsumo algo elevado,"El Santa Fe es un modelo actualizado de 4,78 metros de longitud, con la novedad de sus versiones híbrida e híbrida enchufable. Se trata de un SUV familiar de 7 plazas disponible con tres modelos de propulsión: versión diésel 200 CV, versión híbrida 230 CV y versión híbrida enchufable 265 CV (todas con cambio automático). Este modelo ofrece una muy buena calidad de construcción, además de gran habitabilidad y capacidad en todo su interior, con un maletero de 634 litros. El... Fe ofrece una muy buena opción si se busca un 7 plazas bien equipado y con una gran habitabilidad en todas sus plazas para viajar cómodamente.",PVP Nuevo: 47.000 €,Potencia230 CVConsumo6.9 l/100 kmPuertas5Plazas7Maletero634lAlto1.710mLargo4.785m
Ford Tourneo Custom,,Lo mejorVersatilidad en la configuración de asientos,Lo mejorablePuede resultar menos manejable en entornos urbanos,"En séptimo lugar encontramos un monovolumen destinado al transporte de pasajeros, con dos longitudes de carrocería de 5,05 y 5,45 metros y opción de hasta nada menos que 9 asientos. Dispone de tres versiones de motor diésel (sin hibridación) de 136 , 150 y 170 caballos y su versión híbrida enchufable de 232 CV. Se trata de una versión mejorada tanto en diseño como equipamiento destacando en su gran variedad de motores y su opción muy interesante de 9 plazas, lo que lo hace un...che perfecto para desplazarse en grupos grandes. Su sorprendente maletero de hasta 1.200 litros con todas las plazas ocupadas, lo hacen uno de los más grandes en el segmento de monovolúmenes del mercado actual.",PVP Nuevo: 47.000 €,Potencia170 CVConsumo8.1 l/100 kmPuertas5Plazas7Maletero634lAlto1.970mLargo5.340m
Dacia Jogger,,Lo mejorRelación calidad-precio excepcional,Lo mejorableAcabados interiores demasiado sencillos,"Cerrando la lista de los mejores coches de 7 plazas de este año, se posiciona el Dacia Jogger, un 7 plazas realmente espacioso con 4,55 metros de longitud. Este nuevo Jogger aterriza de lleno en el mercado de los 7 plazas, con un único motor gasolina con dos variantes de 110 CV y 100 CV, este segundo con etiqueta ECO y doble depósito, de gasolina o GLP. Desde hace un año también se encuentra disponible su versión híbrida de 140 CV. En cuanto a su amplitud, Dacia ha priorizado el...terior sobre el diseño exterior, conformando un habitáculo espacioso, para personas de cualquier medida, con plazas muy confortables. Por su lado, el maletero cuenta con la novedad de 607 litros de capacidad, algo poco habitual en el resto de modelos.",PVP Nuevo: 24.450 €,Potencia140 CVConsumo4.5 l/100 kmPuertas5Plazas7Maletero708lAlto1.632mmLargo 4.547mm
Toyota Highlander,,Lo mejorAmplio espacio interior y tracción total de serie,"Lo mejorableTamaño grande, difícil de maniobrar en algunas zonas","Encabezando el ranking encontramos el Toyota Highlander, un SUV de casi 5 metros de longitud y 7 plazas disponibles. Con la mecánica heredada del RAV4, este modelo de propulsión híbrida cuenta con 248 CV de potencia total y etiqueta ECO. Su interior es bastante espacioso, con 5 plazas realmente cómodas y con la posibilidad de desplazar hasta 7 pasajeros. Además, el Highlander cuenta con un amplio maletero de 658 l de capacidad y un espacio muy aprovechable, pudiendo abatir hasta 5 asientos...para sacarle más partido. Por ello, se trata de un modelo 7 plazas perfecto para un uso familiar, pensado para viajes largos y orientado a la comodidad de los pasajeros gracias a su amplio interior.",PVP Nuevo: 52.000 €,Potencia248 CVConsumo6.6 l/100 kmPuertas5Plazas5Maletero658lAlto1.755mLargo4.950m
Hyundai Santa Fe,,Lo mejorConfort de marcha y equipamiento tecnológico avanzado,Lo mejorableConsumo algo elevado,"El Hyundai Santa Fe es un SUV familiar de 7 plazas totalmente actualizado respecto a su modelo de 2018. Cuenta con tres modelos de propulsión: diésel, híbrida e híbrida no enchufable. En el caso del HEV, esta versión ofrece 230 CV de potencia combinando un motor de combustión y uno eléctrico. Este modelo destaca por su gran habitabilidad, pudiendo configurar una tercera fila de asientos que dotan al vehículo de hasta 7 plazas. Junto con un equipamiento renovado, un amplio interior y un...aletero de gran capacidad (571 l), conforman un SUV ideal para familias que quieran un coche de grandes dimensiones ya sea para viajar o para moverse por la ciudad.",PVP Nuevo: 47.000 €,Potencia230 CVConsumo6.9 l/100 kmPuertas5Plazas5Maletero634lAlto1.710mLargo4.785m
Kia Sorento,,Lo mejorAmplio espacio interior y eficiencia en consumo,Lo mejorablePrestaciones dinámicas que podrían ser más deportivas,"En tercer lugar se posiciona el KIA Sorento, un SUV de tamaño grande con 7 plazas disponibles. Se trata de un coche familiar con una gran variedad de sistemas de propulsión y grados de hibridación. Sus versiones HEV y PHEV, combinan un motor gasolina 1.6 turbo (180 CV) y un sistema eléctrico, ofreciendo un total de 230 y 265 CV respectivamente. Gracias a sus dimensiones, el interior del Sorento es muy espacioso y confortable, pudiendo disponer de hasta 7 plazas útiles y un amplio maletero....Además, cuenta con un equipamiento y una tecnología muy moderna, como el accionamiento eléctrico de los asientos adicionales. Tanto su tecnología como su gran habitabilidad, entre otras, colocan el buque insignia de Kia como uno de los mejores coches híbridos familiares del mercado",PVP Nuevo: 45.000 €,Potencia230 CVConsumo6.7 l/100 kmPuertas5Plazas7Maletero616lAlto1.700mLargo4.810m
Nissan X-Trail,,Lo mejorTecnología e-POWER para una conducción suave y eficiente,Lo mejorablePrecio inicial elevado en comparación con la competencia,"El Nissan X-Trail es el SUV más grande que la marca japonesa comercializa en España. Esta cuarta generación de 4,68 metros y 7 plazas disponibles cuenta con tres versiones híbridas: Micro Hybrid de 163 CV e híbridos e-POWER de 204 y 203 CV. Este modelo, más lujoso que su predecesor, cuenta con un equipamiento renovado y un amplio interior, además de una tecnología totalmente actualizada. Tanto sus dimensiones que lo hacen gozar de un interior especialmente amplio como sus prestaciones,...o hacen un coche de 7 plazas muy atractivo para viajar en familia.",PVP Nuevo: 38.182 €,Potencia204 CVConsumo5.7 l/100 kmPuertas5Plazas5Maletero585lAlto1.725mmLargo4.680mm
Renault Espace,,Lo mejorAmplio espacio interior y eficiencia en consumo,Lo mejorablePrestaciones dinámicas que podrían ser más deportivas,"Este nuevo Espace, abandonando el formato monovolumen, ofrece un modelo más corto y ligero, lo que también reduce levemente su interior. Su sistema de propulsión híbrido ofrece hasta 199 CV combinando un motor de combustión de 131 CV y dos eléctricos (34 CV y 68 CV). El vehículo puede equipar dos asientos adicionales en una tercera fila, siempre y cuando se desplacen los de la segunda, conformando así hasta 7 plazas útiles. Por todo esto, el modelo ofrece un coche... y ágil, siendo una opción muy interesante para las familias que quieran un utilitario para viajar o moverse por zonas urbanas.","Equipamiento PVP Nuevo: 39.482 € Renting: Desde 520,30 € al mes",Potencia200 CVConsumo4.6 l/100 kmPuertas5Plazas5Maletero581lAlto1.645mLargo4.722m
Dacia Jogger,,Lo mejorRelación calidad-precio excepcional,Lo mejorableAcabados interiores demasiado sencillos,"Este Dacia Jogger es un vehículo realmente espacioso y competente con sus rivales en cuanto a precio se refiere. El Jogger cuenta con 7 plazas disponibles y una novedosa versión híbrida no enchufable, que combina motor gasolina (91 CV) y un eléctrico (49 CV), alcanzando hasta 140 CV de potencia. Respecto a sus modelos anteriores, Dacia ha priorizado la amplitud interior frente al diseño exterior. Gracias a esto, el interior puede disponer de hasta 7 plazas de fácil acceso, además de una...ltura considerable y una calidad de acabado bastante buena. Gracias a todo esto, el modelo Dacia Jogger se convierte en un vehículo familiar muy competente, ya no solo por su precio, si no por lo cómodo que resulta tanto para desplazarse en familia.",PVP Nuevo: 24.450 €,Potencia140 CVConsumo4.5 l/100 kmPuertas5Plazas5Maletero708lAlto1.632mmLargo 4.547mm
Peugeot 5008,,Lo mejorVersatilidad con siete plazas y diseño moderno,Lo mejorableAsistencia eléctrica limitada,"Se trata de un modelo SUV de 4,6 metros de longitud que destaca por su versatilidad y amplitud, pudiendo conformar hasta 7 plazas útiles. Su motorización, cuenta con una versión híbrida de 136 CV y etiqueta ECO. A pesar de sus medidas, algo inferiores que las de sus rivales, ofrece un habitáculo y un maletero realmente espaciosos, permitiendo el desplazamiento de hasta 7 personas de manera cómoda. Gracias a sus prestaciones y su adaptabilidad, lo hacen una opción...te para familias.",Equipamiento PVP Nuevo: 41.160 €,Potencia136 CVConsumo5.0 l/100 kmPuertas5Plazas7Maletero780lAlto1.646mLargo4.641m
Mercedes Eqb 250,,Lo mejorElegancia y tecnología premium,Lo mejorableAutonomía eléctrica inferior,"Uno de los pocos modelos en el mercado que ofrece todas las prestaciones asociadas a un coche 100% eléctrico y cuenta con un espacioso habitáculo que puede albergar 7 ocupantes. Un vehículo con una gran autonomía, con acabados premium para garantizar cómodos desplazamientos tanto en cortos trayectos urbanos como largos viajes por carretera.","Equipamiento PVP Nuevo: 42.990 € Renting: Desde 871,00 € al mes","Potencia190 CVConsumo15,7 kWh/100 kmAutonomia530 kmPuertas5Plazas5Maletero685lAlto1.667mLargo4.684m"
Seat Tarraco,,Lo mejorEspacioso y versátil,Lo mejorableConsumo energético elevado,"Un SUV eléctrico pensado para ofrecer gran espacio a sus ocupantes, con capacidad para proporcionar sitio hasta siete ocupantes con excelentes prestaciones en materia de confort y seguridad. Su diseño exterior es una muestra de que la robustez no está reñida con la versatilidad.",Equipamiento PVP Nuevo: 38.960 €,"Potencia245 CVConsumo15,1,9 l/100 km autonomia49 kmPuertas5Plazas7Maletero610lAlto1.674mLargo4.735m"
Skoda Enyaq,,Lo mejorAmplia autonomía eléctrica,Lo mejorablePrecio inicial algo elevado,"Un crossover del segmento C con tecnología 100% eléctrica. Un coche polivalente con una imagen atractiva cuyas dimensiones le permiten contar con un máximo de hasta 7 ocupantes. El espacioso interior del Enya destaca por la elevada calidad de sus elementos con tapizados en los paneles de las puertas, la consola central y el salpicadero.","PVP Nuevo: 45.835 € Renting: Desde 838,34 € al mes","Potencia286 CVConsumo13,30 kWh/100 km autonomia510 kmPuertas5Plazas7Maletero585lAlto1.879mLargo4.649m"
Hyundai Kona,,Lo mejorExcelente relación calidad-precio,Lo mejorableEspacio interior algo justo,"Un coche eléctrico perteneciente al segmento B-SUV, cuyas últimas versiones le han permitido ganar más espacio en el habitáculo, perfecto para garantizar más comodidad a sus ocupantes. Este Hyundai no solo tiene espacio para sus viajeros, sino que su maletero con capacidad de 332 litros permite transportar todo tipo de carga en su interior.",PVP Nuevo: 32.912 €,Potencia218 CVConsumo15 kWh/100 kmAutonomia510 kmPuertas5Plazas7Maletero466lAlto1.580mLargo4.355m
Kia e-Niro,,Lo mejorGran eficiencia híbrida,Lo mejorableEspacio de carga reducido,"Un crossover compacto 100% eléctrico que en sus últimas versiones ha renovado sus asientos, con un nuevo diseño que ha permitido ganar espacio en el habitáculo sin renunciar al confort de los pasajeros. Su batería de 64 kWh proporciona una autonomía de hasta 460 km, con un motor centrado en un óptimo consumo energético.","Equipamiento PVP Nuevo: 33.025 € Renting: Desde 475,00 € al mes","Potencia325 CVConsumo15,6 kWh/100 kmAutonomia600 kmPuertas5Plazas7Maletero475lAlto1.560mLargo4.684m"
1. Mazda CX-80,9/10,"['Excelente eficiencia tanto en el PHEV como en el diésel', 'Fácil acceso y amplio espacio en la segunda y tercera fila de asientos', 'Alta calidad de construcción y acabados interiores']","['La suspensión puede sentirse algo seca en ciertas superficies', 'Barqueo de la carrocería acusado en conducción alegre', 'Sistema multimedia algo limitado frente a algunos rivales']","Mazda destaca por su agrado de conducción y tacto con tintes deportivos, por una calidad de acabados de lujo y por sus potentes motorizaciones diésel con etiqueta ECO. Tiene un precio bajo si lo comparamos con otros rivales de su tamaño.",Desde 54.668 €,
2. Hyundai Santa Fe,8/10,"['Equipamiento y tecnología propios de coches de más alta gama', 'Motor híbrido potente y tracción total', 'Es un coche cómodo de conducir en toda circunstancia']","['Precio elevado', 'Escasa autonomía eléctrica de la versión híbrida enchufable', 'Alertas de los asistentes de conducción intrusivas y engorrosas de desconectar']","Es uno de los mejores SUV de 7 plazas del mercado por su equipamiento, habitabilidad en todas sus plazas, versatilidad y maletero. Además tiene un buen nivel de confort de marcha y calidad de construcción. Eso sí, ya no tiene un precio tan interesante como antes.",Desde 51.478 €,
3. Skoda Kodiaq,8/10,"['Practicidad y espacio disponible', 'Oferta mecánica amplia', 'Confort de marcha']","['Ergonomía de algunos mandos', 'Plazas de la tercera fila solo para niños', 'Motores diésel sin hibridación']","El Kodiaq es un SUV familiar espacioso y versátil, con hasta siete plazas, buena ergonomía, motores eficientes y un precio competitivo dentro de su segmento.",Desde 40.001 €,
4. Renault Espace,9/10,"['Consumo', 'Equipamiento disponible', 'Opción de siete plazas sin coste']","['Funcionamiento poco refinado en ocasiones', 'Gama reducida a una sola versión', 'Tacto del freno']","El nuevo Espace ya no es el monovolumen de antaño, ahora un SUV grande cuyas plazas de la tercera fila son más bien para niños. Comparte con el Austral su eficiente sistema híbrido y el avanzado sistema multimedia de Google, además de su dinámico chasis.",Desde 38.280 €,
5. KIA Sorento,7/10,"['Variedad de motores', 'Amplio y disponible con siete plazas', 'Precio']","['Consumo', 'Mandos del climatizador', 'Prestaciones sólo correctas']","El Sorento es un SUV grande y bien equipado, disponible con todos los grados de hibridación. Destaca por su relación calidad-precio y por la amplitud de su habitáculo respecto a rivales de similares dimensiones. Tiene una tercera fila con unas plazas reales y es muy confortable.",Desde 45.963 €,
6. Peugeot 5008,8/10,"['Amplio interior con 7 plazas de serie', 'Comodidad y refinamiento', 'Motorizaciones híbridas y eléctricas, con buena autonomía']","['La calidad del sistema multimedia podría mejorar', 'El i-Cockpit seguirá sin convencer a algunos usuarios', 'Prestaciones']","El Peugeot 5008 no solo es amplio y práctico como el que más, sino que destaca especialmente por su calidad general, solidez y por un nivel de confort y de agrado de conducción más propios de una marca de lujo.",Desde 34.885 €,
7. Ford Tourneo Connect,9/10,"['Espacio y polivalencia', 'Estabilidad y confort', 'Consumo']","['Solo con distintivo C', 'Prestaciones justas', 'Sin versión eléctrica']","Es un monovolumen derivado de una furgoneta comercial, pero es moderna, más práctica y versátil que un SUV para un uso familiar y dispone del equipamiento tecnológico necesario. Te sorprenderá su agrado de conducción y lo bien que se desenvuelve tanto en carretera como en ciudad.",Desde 30.995 €,
8. Nissan X-Trail,9/10,"['Presentación vistosa', 'Confort general', 'Uno de los pocos de su tamaño con siete plazas']","['Rumorosidad en ciertas condiciones', 'Presencia de algunos plásticos duros', 'Manejo del selector de marchas']","El X-Trail es posiblemente el mejor 4x4 de siete plazas del mercado, su sistema híbrido destaca por sus prestaciones y su funcionamiento refinado, va aplomado en carretera y el interior genera una sensación de coche lujoso.",Desde 32.660 €,
9. Mercedes-Benz GLB,8/10,"['Versatilidad', 'Diseño', 'Variedad']","['Precio', 'Equipamiento en modelos básicos', 'Sin versiones CERO']","El Mercedes GLB es de los pocos SUV, que con un tamaño tan compacto, tiene la posibilidad de disponer de 7 plazas y ser 4x4. Es un coche versátil y con la calidad de rodadura propia de Mercedes, aunque sus acabados no están acordes a su precio.",Desde 46.330 €,
10. Dacia Jogger,9/10,"['Maletero', 'Autonomía de la versión con GLP', 'Precio con siete plazas']","['Equipamiento de serie', 'Posibilidades de personalización', 'No hay disponible cambio automático']","El Dacia Jogger ofrece 7 plazas a un precio mucho más bajo que el resto. El acceso a las plazas de la tercera fila es bueno, y el espacio en las dos plazas añadidas es remarcable para su tamaño. Eso sí, no cuenta con apenas elementos de confort y la banqueta no es corredera.",Desde 18.200 €,
SWM G03F,4.9,,,"Es chino y es el D-SUV más barato del mercado. Aunque sus calidades pueden no convencer, sí lo hacen su equipamiento estándar o su aspecto, más rudo de lo habitual y próximo a un todoterreno puro. Se mueve con gasolina, puede contar con 7 plazas (orientación familiar).",15.990 € Ahorra 1.379 €,"['Potencia 110 CV', 'Consumo 7.20-7.20 l/100Km', 'Maletero', 'Etiqueta ambiental C']"
Dacia Jogger,7.1,,,"Es un monovolumen que se caracteriza por ofrecer el máximo espacio, con un precio muy contenido y por estar disponible en configuración de cinco y siete plazas. Es una rareza en un mercado en el que los monovolúmenes tradicionales, como el propio Dacia Jogger, han desaparecido, remplazados por los SUV y monovolúmenes derivados de furgonetas.",17.040 € Ahorra 1.525 €,"['Potencia 100-110 CV', 'Consumo 5.80-7.70 l/100Km', 'Maletero 595', ['Etiqueta ambiental CEtiqueta ambiental ECO']]"
Citroën C3 Aircross eléctrico,6.1,,,,18.280 €,"['Potencia CV', 'Consumo l/100Km', 'Maletero 460', '']"
Citroën C3 Aircross,5.9,,,,18.490 €,"['Potencia 100-145 CV', 'Consumo 5.30-6.20 l/100Km', 'Maletero 460', ['Etiqueta ambiental CEtiqueta ambiental ECO']]"
SWM G05F,4.9,,,,19.490 € Ahorra 1.880 €,"['Potencia 139 CV', 'Consumo 8.50-8.50 l/100Km', 'Maletero', 'Etiqueta ambiental C']"
Ford Transit Connect,6.3,,,,19.603 € Ahorra 13.558 €,"['Potencia 102-122 CV', 'Consumo 5.40-7.00 l/100Km', 'Maletero', 'Etiqueta ambiental C']"
Opel Frontera,6.5,,,,19.900 € Ahorra 3.304 €,"['Potencia 110-146 CV', 'Consumo 5.20-5.20 l/100Km', 'Maletero 460', 'Etiqueta ambiental ECO']"
DFSK Glory 580,5.0,,,"De concepción económica, el DFSK Glory 580 es un SUV fabricado en China que está disponible con un precio muy ajustado para su tamaño, con un gran maletero, y con la posibilidad de disponer de 7 plazas. A pesar de su precio ajustado su equipamiento es muy completo",21.122 € Ahorra 8.162 €,"['Potencia 149 CV', 'Consumo 9.90-9.90 l/100Km', 'Maletero', 'Etiqueta ambiental C']"
Dacia Jogger híbrido,7.3,,,"Es un vehículo único en su categoría, por aunar el concepto de monovolumen más tradicional, ofreciendo mucho espacio y configuraciones de dos y tres filas de asientos y, por lo tanto, de cinco y siete plazas, con una mecánica híbrida completa confortable, con bajos consumos y, por supuesto, con la tan preciada etiqueta ECO.",22.050 € Ahorra 2.624 €,"['Potencia 140 CV', 'Consumo 4.80-4.90 l/100Km', 'Maletero 595', 'Etiqueta ambiental ECO']"
DFSK 600,5.6,,,,25.499 € Ahorra 3.219 €,"['Potencia 177 CV', 'Consumo l/100Km', 'Maletero 375', 'Etiqueta ambiental C']"
